"translation_key","source_type","route","owner","status"
"quiz.q_count_video","dictionary","Program Details","i18n","localized"
"quiz.question_n","dictionary","Program Details","i18n","localized"
"quiz.answered","dictionary","Program Details","i18n","localized"
"quiz.submitting","dictionary","Program Details","i18n","localized"
"quiz.submit","dictionary","Program Details","i18n","localized"
"quiz.answer_all_inline","dictionary","Program Details","i18n","localized"
"blog.post1.category","dictionary","Homepage","i18n","localized"
"blog.post1.date","dictionary","Homepage","i18n","localized"
"blog.post1.read","dictionary","Homepage","i18n","localized"
"blog.post1.title","dictionary","Homepage","i18n","localized"
"blog.post2.category","dictionary","Homepage","i18n","localized"
"blog.post2.date","dictionary","Homepage","i18n","localized"
"blog.post2.read","dictionary","Homepage","i18n","localized"
"blog.post2.title","dictionary","Homepage","i18n","localized"
"blog.hub.label","dictionary","Homepage","i18n","localized"
"blog.hub.title","dictionary","Homepage","i18n","localized"
"res.resources","dictionary","Other","i18n","localized"
"res.glossary_terms","dictionary","Other","i18n","localized"
"res.free","dictionary","Other","i18n","localized"
"res.resources_label","dictionary","Other","i18n","localized"
"res.free_badge","dictionary","Other","i18n","localized"
"res.glossary_label","dictionary","Other","i18n","localized"
"res.key_terms","dictionary","Other","i18n","localized"
"res.hide","dictionary","Other","i18n","localized"
"res.show_terms","dictionary","Other","i18n","localized"
"res.glossary_search_pre","dictionary","Other","i18n","localized"
"res.glossary_search_post","dictionary","Other","i18n","localized"
"res.no_terms_pre","dictionary","Other","i18n","localized"
"res.no_terms_post","dictionary","Other","i18n","localized"
"res.title","dictionary","Other","i18n","localized"
"res.curated","dictionary","Other","i18n","localized"
"res.organized","dictionary","Other","i18n","localized"
"res.search","dictionary","Other","i18n","localized"
"res.matching","dictionary","Other","i18n","localized"
"res.clear","dictionary","Other","i18n","localized"
"res.search_results","dictionary","Other","i18n","localized"
"res.programs_label","dictionary","Other","i18n","localized"
"res.no_programs","dictionary","Other","i18n","localized"
"res.select_program","dictionary","Other","i18n","localized"
"res.footer","dictionary","Other","i18n","localized"
"certpanel.earned","dictionary","Certifications","i18n","localized"
"certpanel.verified","dictionary","Certifications","i18n","localized"
"certpanel.share","dictionary","Certifications","i18n","localized"
"certpanel.download","dictionary","Certifications","i18n","localized"
"certpanel.in_progress","dictionary","Certifications","i18n","localized"
"certpanel.ms_sub","dictionary","Certifications","i18n","localized"
"certpanel.req_progress","dictionary","Certifications","i18n","localized"
"certpanel.req1","dictionary","Certifications","i18n","localized"
"certpanel.req2","dictionary","Certifications","i18n","localized"
"certpanel.req3","dictionary","Certifications","i18n","localized"
"certpanel.req4","dictionary","Certifications","i18n","localized"
"certpanel.req5","dictionary","Certifications","i18n","localized"
"certpanel.locked","dictionary","Certifications","i18n","localized"
"modal.progress_title","dictionary","Dashboard","i18n","localized"
"modal.overall_completion","dictionary","Dashboard","i18n","localized"
"modal.chapter_progress","dictionary","Dashboard","i18n","localized"
"modal.lessons_completed","dictionary","Dashboard","i18n","localized"
"modal.recent_quiz","dictionary","Dashboard","i18n","localized"
"modal.no_quiz","dictionary","Dashboard","i18n","localized"
"modal.passed","dictionary","Dashboard","i18n","localized"
"modal.not_passed","dictionary","Dashboard","i18n","localized"
"modal.improvement","dictionary","Dashboard","i18n","localized"
"modal.improvement_desc","dictionary","Dashboard","i18n","localized"
"modal.status_advanced","dictionary","Dashboard","i18n","localized"
"modal.status_ontrack","dictionary","Dashboard","i18n","localized"
"modal.status_attention","dictionary","Dashboard","i18n","localized"
"modal.activity_streak","dictionary","Dashboard","i18n","localized"
"modal.current_streak","dictionary","Dashboard","i18n","localized"
"modal.days_since_reg","dictionary","Dashboard","i18n","localized"
"modal.study_consistency","dictionary","Dashboard","i18n","localized"
"modal.active_days","dictionary","Dashboard","i18n","localized"
"modal.registered","dictionary","Dashboard","i18n","localized"
"modal.streak_msg_high","dictionary","Dashboard","i18n","localized"
"modal.streak_msg_mid","dictionary","Dashboard","i18n","localized"
"modal.streak_msg_low","dictionary","Dashboard","i18n","localized"
"modal.points_breakdown","dictionary","Dashboard","i18n","localized"
"modal.total_points","dictionary","Dashboard","i18n","localized"
"modal.points_by_cat","dictionary","Dashboard","i18n","localized"
"modal.recent_activity","dictionary","Dashboard","i18n","localized"
"modal.no_points","dictionary","Dashboard","i18n","localized"
"modal.labs_history","dictionary","Dashboard","i18n","localized"
"modal.no_labs","dictionary","Dashboard","i18n","localized"
"modal.lab_session","dictionary","Dashboard","i18n","localized"
"modal.complete","dictionary","Dashboard","i18n","localized"
"modal.click_reenter","dictionary","Dashboard","i18n","localized"
"portpanel.capstone_title","dictionary","Portfolio","i18n","localized"
"portpanel.capstone_sub","dictionary","Portfolio","i18n","localized"
"portpanel.done","dictionary","Portfolio","i18n","localized"
"portpanel.review","dictionary","Portfolio","i18n","localized"
"portpanel.progress","dictionary","Portfolio","i18n","localized"
"portpanel.github","dictionary","Portfolio","i18n","localized"
"portpanel.demo","dictionary","Portfolio","i18n","localized"
"portpanel.add_title","dictionary","Portfolio","i18n","localized"
"portpanel.add_sub","dictionary","Portfolio","i18n","localized"
"portpanel.add_btn","dictionary","Portfolio","i18n","localized"
"mobile.home.welcome","dictionary","Other","i18n","localized"
"mobile.home.tagline","dictionary","Other","i18n","localized"
"mobile.home.continue_label","dictionary","Other","i18n","localized"
"mobile.home.default_module","dictionary","Other","i18n","localized"
"mobile.home.default_lesson","dictionary","Other","i18n","localized"
"mobile.home.pick_program","dictionary","Other","i18n","localized"
"mobile.home.continue_btn","dictionary","Other","i18n","localized"
"mobile.home.start_btn","dictionary","Other","i18n","localized"
"mobile.home.mission_title","dictionary","Other","i18n","localized"
"mobile.home.mission_reward","dictionary","Other","i18n","localized"
"mobile.home.career_title","dictionary","Other","i18n","localized"
"mobile.home.you_are_here","dictionary","Other","i18n","localized"
"mentor.v.connected_title","dictionary","AI Mentor","i18n","localized"
"mentor.v.connected_desc","dictionary","AI Mentor","i18n","localized"
"mentor.v.call_ended","dictionary","AI Mentor","i18n","localized"
"mentor.v.call_ended_desc","dictionary","AI Mentor","i18n","localized"
"mentor.v.conn_error","dictionary","AI Mentor","i18n","localized"
"mentor.v.conn_error_desc","dictionary","AI Mentor","i18n","localized"
"mentor.v.mic_required","dictionary","AI Mentor","i18n","localized"
"mentor.v.mic_required_desc","dictionary","AI Mentor","i18n","localized"
"mentor.v.conn_failed","dictionary","AI Mentor","i18n","localized"
"mentor.v.conn_failed_desc","dictionary","AI Mentor","i18n","localized"
"mentor.v.title","dictionary","AI Mentor","i18n","localized"
"mentor.v.subtitle","dictionary","AI Mentor","i18n","localized"
"mentor.v.speaking","dictionary","AI Mentor","i18n","localized"
"mentor.v.listening","dictionary","AI Mentor","i18n","localized"
"mentor.v.prof_speaking","dictionary","AI Mentor","i18n","localized"
"mentor.v.your_turn","dictionary","AI Mentor","i18n","localized"
"mentor.v.connecting","dictionary","AI Mentor","i18n","localized"
"mentor.v.start","dictionary","AI Mentor","i18n","localized"
"mentor.v.end","dictionary","AI Mentor","i18n","localized"
"mentor.v.hint_active","dictionary","AI Mentor","i18n","localized"
"mentor.v.hint_idle","dictionary","AI Mentor","i18n","localized"
"flagship.int_ts_sub","dictionary","Flagship","i18n","localized"
"mentor.title","dictionary","Flagship","i18n","localized"
"flagship.int_mentor_sub","dictionary","Flagship","i18n","localized"
"flagship.stat_simulations","dictionary","Flagship","i18n","localized"
"flagship.int_sims_sub","dictionary","Flagship","i18n","localized"
"flagship.int_portfolio_title","dictionary","Flagship","i18n","localized"
"flagship.int_portfolio_sub","dictionary","Flagship","i18n","localized"
"flagship.int_placement_title","dictionary","Flagship","i18n","localized"
"flagship.int_placement_sub","dictionary","Flagship","i18n","localized"
"flagship.int_cert_title","dictionary","Flagship","i18n","localized"
"flagship.int_cert_sub","dictionary","Flagship","i18n","localized"
"flagship.lvl_beginner","dictionary","Flagship","i18n","localized"
"flagship.lvl_intermediate","dictionary","Flagship","i18n","localized"
"flagship.lvl_advanced","dictionary","Flagship","i18n","localized"
"flagship.module_meta","dictionary","Flagship","i18n","localized"
"flagship.phase_","dictionary","Flagship","i18n","localized"
"flagship.f_objectives","dictionary","Flagship","i18n","localized"
"flagship.f_lessons","dictionary","Flagship","i18n","localized"
"flagship.f_readings","dictionary","Flagship","i18n","localized"
"flagship.f_videos","dictionary","Flagship","i18n","localized"
